playerID,uPER,PER
abrossv01w,0.5099290719866542,18.1526649916883
abrossv01w,0.4916770125257514,17.502920666440623
abrossv01w,0.5364898922160368,19.098188002663168
abrossv01w,0.4523809425891571,16.10404299455213
abrossv01w,0.4912483849260182,17.48766220472195
abrossv01w,0.47016573936235173,16.737153510317174
abrossv01w,0.5648873005351448,20.10909063239682
abrossv01w,0.46915883465805286,16.701309302210973
adamsjo01w,0.44687495345052564,15.908038526926745
aguilel01w,0.3992907518233509,14.214116531717067
ajavoma01w,0.571523169345643,20.345317021640458
ajavoma01w,0.5621805696391726,20.012735311869967
aldrima01w,0.3213235175984001,11.438606836417586
aldrima01w,0.18285709061225983,6.509421975701786
alhalta01w,0.25158729160367893,8.956107959985669
allench01w,0.33877544106623647,12.059867591247638
amachma01w,0.5666647777840741,20.17236599911489
amachma01w,0.2510637763694093,8.93747164919696
amachma01w,0.6666644444518518,23.73219529307634
ambermo01w,0.0,0.0
anderam01w,0.5999940000599994,21.358833372020865
anderam01w,0.11111098765445816,3.9553746718715845
anderch01w,0.29239764371943605,10.40889167216744
anderch01w,0.35411253878300697,12.605843908527717
anderch01w,0.3291479771427806,11.717145167830616
anderch01w,0.4654589259550984,16.569598429318592
anderch01w,0.46976738723635036,16.72297280737381
anderjo01w,0.37275203343999913,13.269380311354341
anderke01w,0.3447004528870864,12.27078860078462
anderke01w,0.20294115657439643,7.224382822435344
anderke01w,0.37419342767953945,13.320691656772219
andrame01w,0.46085319371576916,16.40564167734084
andrame01w,0.3208286638205077,11.420990827950064
andrame01w,0.2640601464051106,9.400121779041442
andrame01w,0.23999996307692878,8.543617469739148
anosini01w,0.5820652110645086,20.72059696185924
anosini01w,0.6928571351243623,24.664613476563332
arcaija01w,0.3788126880367176,13.485129988257338
arcaija01w,0.6285961817279361,22.377025607710955
arcaija01w,0.43960573082790555,15.649265747990388
arcaija01w,0.43961267218650824,15.649512849330995
arcaija01w,0.4039851677109808,14.381230280709271
askamma01w,0.4334867614098186,15.4314401560739
askamma01w,0.3088166981713063,10.993383930637632
askamma01w,0.4339534681882108,15.448054176067892
askamma01w,0.28749996006944994,10.23454191370575
atkinla01w,0.34244603495333253,12.190534903259097
atkinla01w,0.3247787466912059,11.561607503837623
atkinla01w,0.33424652955527,11.898645535177598
atkinla01w,0.5391303175803657,19.192182951583188
atunrmo01w,0.3385057373992605,12.050266569100438
augusse01w,0.717437716037031,25.539643113274142
augusse01w,0.8075022798947642,28.745798528109436
augusse01w,0.6844529684793381,24.3654384931738
augusse01w,0.8207864707423332,29.218694621682005
aycocan01w,0.8166653055578241,29.071987687169823
aycocan01w,0.14285693877580175,5.085480106541416
azizle01w,0.35227264721076196,12.540346691038481
azzije01w,0.4280858599626859,15.239176643344642
azzije01w,0.3679668019255867,13.099033670300168
azzije01w,0.40373587833418006,14.372355974866263
azzije01w,0.33213027876645884,11.823310368547425
badertr01w,0.35870644981559946,12.769379844322442
badertr01w,0.29298243044013766,10.429709150549536
