playerID,year,stint,tmID,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgMade,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,TSht,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG,num_awards,MIN,PTS,ORB,DRB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,uPER,PER
amachma01w,6,0,WAS,3,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,,0.0,0.0,0.0,0.0,0.0,0.667,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0.6666644444518518,28.217939636686292
ambermo01w,3,0,SAC,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
anderam01w,7,1,CON,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
anderam01w,7,2,NYL,3,0,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.222,0.111,0.111,0.111,0.0,0.0,0.0,9,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
anderch01w,4,0,SAC,26,0,171,42,24,5,5,5,17,0,19,4,0,0,1,5,0,29,7,0,3,3,0,0,2,4,7,5,3,2,1,0,0,0,0.426,0.294,0.14,0.041,0.099,0.029,0.029,1.615,0.0,171,42,0,0,5,5,5,17,0,0,0,0,0.23391811497554882,9.901063875897464
anderch01w,5,0,SAC,30,0,231,77,34,5,3,6,25,0,25,27,0,0,0,2,0,11,2,0,2,2,1,0,0,1,1,2,1,0,0,0,0,0,0.48,0.2,0.147,0.061,0.087,0.013,0.026,2.567,0.0,231,77,0,0,5,3,6,25,0,0,0,0,0.28571427334570243,12.093442489253672
anderch01w,6,0,SAS,34,19,669,203,90,11,8,15,55,0,83,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,0.2,0.135,0.042,0.093,0.012,0.022,5.971,0.0,669,203,0,0,11,8,15,55,0,0,0,0,0.27204782851946446,11.514982188326766
anderch01w,7,0,SAS,23,20,414,153,85,15,7,10,29,0,59,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.517,0.205,0.068,0.138,0.017,0.024,6.652,0.0,414,153,0,0,15,7,10,29,0,0,0,0,0.37681158510116947,15.949323008416135
anderch01w,8,0,SAS,11,1,86,28,20,3,1,5,5,0,10,8,0,0,0,2,0,5,2,1,0,1,0,0,0,0,3,1,0,2,2,0,0,0,0.554,0.6,0.233,0.07,0.163,0.012,0.058,2.545,0.0,86,28,0,0,3,1,5,5,0,0,0,0,0.37209297998918833,15.7495983713407
anderjo01w,9,0,CON,24,7,367,97,58,26,7,1,16,0,35,11,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366,1.625,0.158,0.03,0.128,0.019,0.003,4.042,0.0,367,97,0,0,26,7,1,16,0,0,0,0,0.3133514900994145,13.263244359703636
anderke01w,1,0,WAS,30,9,434,75,46,75,25,3,47,0,29,14,8,3,0,2,2,30,2,2,3,5,5,0,0,4,1,3,1,2,0,0,0,0,0.494,1.596,0.106,0.028,0.078,0.058,0.007,2.5,0.0,434,75,0,0,75,25,3,47,0,0,0,0,0.3018433110174352,12.776137082022922
anderke01w,2,0,CHA,18,0,102,12,15,14,6,0,17,0,2,8,2,0,0,2,0,7,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0.294,0.824,0.147,0.029,0.118,0.059,0.0,0.667,0.0,102,12,0,0,14,6,0,17,0,0,0,0,0.14705880911188146,6.224565646326059
anderke01w,3,0,CHA,7,0,31,7,6,5,0,0,3,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,1.667,0.194,0.065,0.129,0.0,0.0,1.0,0.0,31,7,0,0,5,0,0,3,0,0,0,0,0.29032248699274615,12.288494581212996
andrame01w,1,0,CLE,32,18,797,265,95,75,41,10,65,0,89,60,75,27,1,6,5,166,21,5,12,17,14,6,3,11,17,33,8,9,5,9,0,0,0.576,1.154,0.119,0.04,0.079,0.051,0.013,8.281,0.0,797,265,0,0,75,41,10,65,0,0,0,0,0.40903387190672685,17.313197370701673
andrame01w,2,0,CLE,32,32,893,152,87,100,51,10,61,0,58,30,30,6,0,3,3,72,13,5,4,9,1,2,2,7,9,17,6,0,0,2,1,0,0.398,1.639,0.097,0.024,0.074,0.057,0.011,4.75,0.0,893,152,0,0,100,51,10,61,0,0,0,0,0.28219484566411146,11.944475495886458
andrame01w,3,0,CLE,32,16,665,91,56,67,29,6,41,0,34,18,26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,1.634,0.084,0.026,0.059,0.044,0.009,2.844,0.0,665,91,0,0,67,29,6,41,0,0,0,0,0.2285714251342643,9.67475426473843
andrame01w,5,0,CHA,12,0,65,9,4,7,0,1,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,2.333,0.062,0.015,0.046,0.0,0.015,0.75,0.0,65,9,0,0,7,0,1,3,0,0,0,0,0.2153845822485258,9.116594099388397
anosini01w,9,0,MIN,34,34,920,314,231,45,75,43,42,0,99,116,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,1.071,0.251,0.085,0.166,0.082,0.047,9.235,0.0,920,314,0,0,45,75,43,42,0,0,0,0,0.47282608181710784,20.013333463938242
anosini01w,10,0,MIN,30,29,896,396,222,81,81,28,61,0,130,135,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,1.328,0.248,0.081,0.166,0.09,0.031,13.2,0.0,896,396,0,0,81,81,28,61,0,0,0,0,0.585937493460519,24.8010059017544
arcaija01w,1,0,HOU,32,32,977,268,119,60,42,3,53,0,109,41,45,9,1,6,6,201,50,6,21,27,12,10,0,16,14,47,21,7,6,7,2,0,0.526,1.132,0.122,0.037,0.085,0.043,0.003,8.375,0.0,977,268,0,0,60,42,3,53,0,0,0,0,0.32753326174479774,13.863516924951558
arcaija01w,2,0,HOU,32,32,1154,591,136,94,60,3,83,0,217,135,66,22,1,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0,0.514,1.133,0.118,0.042,0.075,0.052,0.003,18.469,1.0,1154,591,0,0,94,60,3,83,0,0,0,0,0.5762564941398918,24.39123775418674
arcaija01w,3,0,HOU,32,32,1116,364,126,86,51,6,71,0,128,98,37,10,0,3,3,119,39,2,9,11,4,5,1,5,11,35,15,8,7,7,2,0,0.519,1.211,0.113,0.038,0.075,0.046,0.005,11.375,0.0,1116,364,0,0,86,51,6,71,0,0,0,0,0.3906810000835036,16.536374437399196
arcaija01w,4,0,HOU,34,34,1136,390,136,67,41,1,50,0,151,79,37,9,0,3,3,107,37,6,8,14,3,8,0,7,5,31,12,13,12,5,1,0,0.534,1.34,0.12,0.021,0.099,0.036,0.001,11.471,0.0,1136,390,0,0,67,41,1,50,0,0,0,0,0.3952464753939571,16.729617541625466
arcaija01w,6,0,HOU,34,34,1079,342,93,53,55,6,56,0,128,83,16,3,0,5,5,138,44,1,9,10,6,6,0,2,5,33,16,12,12,1,0,0,0.495,0.946,0.086,0.019,0.068,0.051,0.006,10.059,0.0,1079,342,0,0,53,55,6,56,0,0,0,0,0.3707136202899572,15.691214143631983
askamma01w,1,0,MIA,32,32,869,251,231,29,17,21,49,0,85,80,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0.592,0.266,0.11,0.155,0.02,0.024,7.844,0.0,869,251,0,0,29,17,21,49,0,0,0,0,0.3095512047232313,13.10238948850154
askamma01w,2,0,MIA,30,11,431,74,87,15,12,11,19,0,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0.789,0.202,0.081,0.121,0.028,0.026,2.467,0.0,431,74,0,0,15,12,11,19,0,0,0,0,0.2157772571745416,9.133214870829514
askamma01w,3,2,LAS,20,4,215,61,49,4,11,4,11,0,26,9,1,0,0,4,3,24,2,1,2,3,0,0,0,0,4,5,0,2,2,0,0,0,0.499,0.364,0.228,0.112,0.116,0.051,0.019,3.05,0.0,215,61,0,0,4,11,4,11,0,0,0,0,0.32093021763115265,13.584029543004235
askamma01w,3,1,MIA,6,1,72,11,11,3,1,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,3.0,0.153,0.083,0.069,0.014,0.014,1.833,0.0,72,11,0,0,3,1,1,1,0,0,0,0,0.20833330439815215,8.818134305410712
