feature,non_null_count,mean,std
year,142,33.32394366197183,0.9494253265550827
tmID,142,1.0292253521126762,0.13965039399944912
confID,142,15.62204225352113,1.502948184878284
rank,142,141050.25352112675,34714.35851894832
playoff,142,10.169014084507042,2.7314086745337014
firstRound,142,6.492957746478873,2.7021044566514965
semis,142,0.3897183098591549,0.163051328393056
finals,142,3.6620422535211268,0.7749779578035819
o_fgm,142,,
o_fga,142,10.56338028169014,3.485460761450117
o_ftm,142,10.56338028169014,3.485460761450117
o_fta,142,0.4998591549295775,0.16266393112814204
o_3pm,142,463.01408450704224,82.14724592453308
o_3pa,142,157.16197183098592,30.482092714020656
o_oreb,142,520.830985915493,50.78210605592267
o_dreb,142,122.07042253521126,20.658536911841754
o_reb,142,730.9225352112676,78.26415299861712
o_asts,142,2039.6760563380283,183.67893470357666
o_pf,142,860.3802816901408,82.54727700999021
o_stl,142,651.3661971830986,90.05124458153949
o_to,142,488.3380281690141,70.8963770167312
o_blk,142,330.51408450704224,33.74365943392637
o_pts,142,653.9154929577464,51.31981395489658
d_fgm,142,2366.260563380282,234.61538405169193
d_fga,142,1061.4366197183099,100.09998298075769
d_ftm,142,263.11267605633805,26.644520571327167
d_fta,142,510.4507042253521,54.03801885496963
d_3pm,142,0.687887323943662,0.02428644036691531
d_3pa,142,21.90816901408451,2.178112143632356
d_oreb,142,0.4217605633802817,0.019471721476772518
d_dreb,20,,
d_reb,80,,
d_asts,142,0.7497887323943662,0.03872925314856472
d_pf,142,6.492957746478873,2.967307633857106
d_stl,142,10.169014084507042,2.99401727560292
d_to,142,0.6101408450704225,0.17827377907494912
d_blk,142,16.661971830985916,4.999130880411571
d_pts,142,0.5,0.5017699170390649
won,142,6735.683098591549,197.85109271778464
lost,142,463.01408450704224,116.16611888199711
GP,142,157.16197183098592,43.73658048681963
homeW,142,520.830985915493,54.625737813279834
homeL,142,122.0774647887324,26.136323992195084
awayW,142,730.9295774647887,83.37811402946807
awayL,142,2039.6830985915492,176.87970707841595
confW,142,860.387323943662,86.99896865709307
confL,142,651.3661971830986,86.03524585957125
min,142,488.3380281690141,70.74937158069343
attend,142,330.5,41.19143166428173
win_pct,142,653.9295774647887,60.978039052012065
points_per_game,142,2366.274647887324,243.15485957654792
points_allowed_per_game,142,1061.4295774647887,105.39324523063956
fg_pct,142,263.11267605633805,34.91288014300928
three_pt_pct,142,510.4507042253521,50.873585151502894
ft_pct,142,0.3121830985915493,0.03178197439923478
total_rebounds_per_game,142,9.914788732394365,1.1745895424987054
offensive_rebounds_per_game,142,21.90767605633803,1.9923654516422964
defensive_rebounds_per_game,142,9.915070422535212,0.9368982675828899
opp_total_rebounds_per_game,142,31.823521126760568,2.5133152351389785
opp_offensive_rebounds_per_game,142,,
opp_defensive_rebounds_per_game,142,70.93725352112676,5.942855910670182
rebounding_pct,142,70.93767605633803,6.248923954518227
offensive_rebounding_pct,142,4.084507042253521,2.095225771096029
defensive_rebounding_pct,142,0.5000704225352112,0.02245551880146378
home_win_pct,38,,
away_win_pct,142,7.897816901408451,1.033055864964644
conf_win_pct,142,39.61802816901409,6.341153578681149
assists_per_game,142,515.6619718309859,55.267484614905136
turnovers_per_game,142,9.169859154929577,2.296662390524638
assist_to_turnover,142,119.7605633802817,27.95967957523575
blocks_per_game,142,508.1385915492957,59.11906268260927
steals_per_game,142,6622.401408450704,318.52895611627997
team_points_mean,142,512.4647887323944,99.43319236694198
team_points_max,142,178.71739436619717,27.1109451002054
team_points_std,142,163.8255633802817,29.69425814364838
team_assists_mean,142,79.79140845070422,11.919987838036377
team_assists_sum,142,1040.0281690140846,112.39424934570904
team_rebounds_mean,142,19.864154929577467,3.5221429733562437
team_rebounds_sum,142,258.9507042253521,35.92394003426762
team_steals_mean,142,0.3374647887323944,0.0251078982153411
team_steals_sum,142,,
team_blocks_mean,142,31.823450704225355,2.713275230468906
team_blocks_sum,142,15.314366197183102,1.4181560621883638
team_minutes_sum,142,0.5,0.15083690877781006
team_minutes_mean,142,16.661971830985916,4.999130880411571
made_playoffs_next_season,142,5.302816901408451,2.9172741493886103
